A = 9.0554, B = 9.2195, C = 29.4279, EAR = 0.3105 
A = 9.0554, B = 9.0554, C = 30.2655, EAR = 0.2992 
A = 9.0554, B = 10.1980, C = 29.4279, EAR = 0.3271 
A = 10.0499, B = 10.1980, C = 30.4138, EAR = 0.3329 
A = 9.0554, B = 10.1980, C = 29.4279, EAR = 0.3271 
A = 10.0499, B = 10.1980, C = 30.4138, EAR = 0.3329 
A = 10.1980, B = 10.0499, C = 29.4279, EAR = 0.3440 
A = 10.0499, B = 10.0499, C = 30.4138, EAR = 0.3304 
A = 8.0623, B = 9.2195, C = 29.2746, EAR = 0.2952 
A = 10.0499, B = 9.2195, C = 30.2655, EAR = 0.3183 
A = 9.0554, B = 10.1980, C = 30.4138, EAR = 0.3165 
A = 10.0499, B = 9.0554, C = 30.4138, EAR = 0.3141 
A = 9.0554, B = 10.1980, C = 29.4279, EAR = 0.3271 
A = 10.1980, B = 10.0499, C = 29.4279, EAR = 0.3440 
A = 9.2195, B = 10.0499, C = 29.4279, EAR = 0.3274 
A = 10.0499, B = 9.0554, C = 29.4279, EAR = 0.3246 
A = 9.2195, B = 10.1980, C = 29.4279, EAR = 0.3299 
A = 10.0499, B = 9.2195, C = 30.4138, EAR = 0.3168 
A = 9.2195, B = 10.1980, C = 29.4279, EAR = 0.3299 
A = 9.0554, B = 9.2195, C = 29.4279, EAR = 0.3105 
A = 9.0554, B = 10.0499, C = 30.4138, EAR = 0.3141 
A = 9.0554, B = 9.0554, C = 30.2655, EAR = 0.2992 
A = 9.0554, B = 10.1980, C = 30.4138, EAR = 0.3165 
A = 9.0554, B = 9.2195, C = 30.2655, EAR = 0.3019 
A = 9.0554, B = 10.0499, C = 29.4279, EAR = 0.3246 
A = 10.0499, B = 9.0554, C = 30.4138, EAR = 0.3141 
A = 9.0554, B = 10.1980, C = 29.4279, EAR = 0.3271 
A = 10.0499, B = 10.1980, C = 31.2570, EAR = 0.3239 
A = 9.2195, B = 10.1980, C = 29.4279, EAR = 0.3299 
A = 9.0554, B = 9.0554, C = 30.2655, EAR = 0.2992 
A = 9.0554, B = 9.2195, C = 30.2655, EAR = 0.3019 
A = 9.0554, B = 9.0554, C = 30.4138, EAR = 0.2977 
A = 9.0554, B = 9.0554, C = 29.2746, EAR = 0.3093 
A = 9.0554, B = 9.0554, C = 30.4138, EAR = 0.2977 
A = 9.2195, B = 10.0499, C = 29.2746, EAR = 0.3291 
A = 9.0000, B = 9.0554, C = 30.2655, EAR = 0.2983 
A = 9.0554, B = 9.0554, C = 29.2746, EAR = 0.3093 
A = 9.0554, B = 8.0623, C = 30.2655, EAR = 0.2828 
A = 8.0623, B = 9.0554, C = 29.2746, EAR = 0.2924 
A = 9.0554, B = 9.0554, C = 30.2655, EAR = 0.2992 
A = 8.2462, B = 9.0554, C = 29.2746, EAR = 0.2955 
A = 9.0554, B = 9.0554, C = 30.2655, EAR = 0.2992 
A = 8.0623, B = 9.0554, C = 29.4279, EAR = 0.2908 
A = 9.0554, B = 9.0554, C = 30.2655, EAR = 0.2992 
A = 8.0623, B = 8.0623, C = 28.2843, EAR = 0.2850 
A = 9.0554, B = 8.0623, C = 29.2746, EAR = 0.2924 
A = 8.0623, B = 9.0554, C = 28.2843, EAR = 0.3026 
A = 9.0554, B = 9.0554, C = 29.2746, EAR = 0.3093
A = 8.2462, B = 8.2462, C = 28.2843, EAR = 0.2915 
A = 8.0623, B = 9.0554, C = 29.2746, EAR = 0.2924 
A = 8.0623, B = 9.0554, C = 28.2843, EAR = 0.3026 
A = 8.0623, B = 8.0623, C = 29.4279, EAR = 0.2740 
A = 7.0711, B = 8.2462, C = 27.2947, EAR = 0.2806 
A = 7.0711, B = 8.0623, C = 28.2843, EAR = 0.2675 
A = 7.2801, B = 8.2462, C = 28.2843, EAR = 0.2745 
A = 8.0623, B = 8.0623, C = 29.2746, EAR = 0.2754 
A = 8.2462, B = 8.0623, C = 28.2843, EAR = 0.2883 
A = 7.0711, B = 8.0623, C = 29.2746, EAR = 0.2585 
A = 7.0711, B = 8.0623, C = 27.1662, EAR = 0.2785 
A = 8.0623, B = 8.0623, C = 29.2746, EAR = 0.2754 
A = 7.0711, B = 7.0711, C = 27.1662, EAR = 0.2603 
A = 8.0623, B = 8.0623, C = 29.1548, EAR = 0.2765 
A = 7.0711, B = 7.0711, C = 27.1662, EAR = 0.2603 
A = 7.0711, B = 7.0711, C = 29.1548, EAR = 0.2425 
A = 7.0711, B = 7.0711, C = 28.1603, EAR = 0.2511 
A = 7.0711, B = 7.0000, C = 28.1603, EAR = 0.2498 
A = 7.2801, B = 7.0711, C = 28.1603, EAR = 0.2548 
A = 8.0623, B = 7.0711, C = 28.1603, EAR = 0.2687 
A = 6.0828, B = 7.0711, C = 28.2843, EAR = 0.2325 
A = 7.0711, B = 7.0711, C = 28.2843, EAR = 0.2500 
A = 6.0828, B = 7.0711, C = 27.2947, EAR = 0.2410 
A = 7.0711, B = 7.0711, C = 28.2843, EAR = 0.2500 
A = 7.0711, B = 8.0623, C = 27.2947, EAR = 0.2772 
A = 7.0000, B = 8.0623, C = 28.2843, EAR = 0.2663 
A = 7.0711, B = 8.0623, C = 27.2947, EAR = 0.2772 
A = 7.0711, B = 8.0623, C = 29.2746, EAR = 0.2585 
A = 6.0828, B = 6.0828, C = 27.2947, EAR = 0.2229 
A = 6.0828, B = 6.0828, C = 28.2843, EAR = 0.2151 
A = 6.0828, B = 6.0828, C = 27.4591, EAR = 0.2215 
A = 6.0828, B = 7.0000, C = 28.2843, EAR = 0.2313 
A = 6.0828, B = 7.2801, C = 28.4429, EAR = 0.2349 
A = 7.0711, B = 7.0711, C = 29.1548, EAR = 0.2425 
A = 6.0828, B = 6.0828, C = 27.2947, EAR = 0.2229 
A = 7.0711, B = 7.0711, C = 28.2843, EAR = 0.2500 
A = 7.2801, B = 7.0711, C = 28.4429, EAR = 0.2523 
A = 7.0711, B = 8.0000, C = 29.2746, EAR = 0.2574 
A = 6.0828, B = 7.0711, C = 27.6586, EAR = 0.2378 
A = 8.0623, B = 7.0711, C = 29.2746, EAR = 0.2585 
A = 6.0828, B = 6.3246, C = 27.6586, EAR = 0.2243 
A = 6.0828, B = 7.0711, C = 29.1548, EAR = 0.2256 
A = 7.2801, B = 7.2801, C = 28.6356, EAR = 0.2542 
A = 7.0711, B = 7.0711, C = 29.2746, EAR = 0.2415 
A = 6.3246, B = 7.2801, C = 27.6586, EAR = 0.2459 
A = 7.0711, B = 7.0711, C = 29.2746, EAR = 0.2415 
A = 7.2801, B = 7.0711, C = 28.6356, EAR = 0.2506 
A = 7.0711, B = 7.2801, C = 29.4279, EAR = 0.2438 
A = 5.0990, B = 6.0828, C = 27.4591, EAR = 0.2036 
A = 6.0828, B = 5.3852, C = 28.2843, EAR = 0.2027 
A = 4.1231, B = 5.0990, C = 27.4591, EAR = 0.1679 
A = 5.0990, B = 5.0990, C = 29.2746, EAR = 0.1742 
A = 4.4721, B = 4.4721, C = 28.4429, EAR = 0.1572 
A = 4.1231, B = 4.1231, C = 29.2746, EAR = 0.1408 
A = 5.3852, B = 5.3852, C = 27.4591, EAR = 0.1961 
A = 5.0990, B = 5.0990, C = 29.2746, EAR = 0.1742 
A = 5.3852, B = 5.3852, C = 27.4591, EAR = 0.1961 
A = 6.3246, B = 5.0990, C = 29.4279, EAR = 0.1941 
A = 4.1231, B = 5.0990, C = 27.4591, EAR = 0.1679 
A = 6.0828, B = 5.3852, C = 28.4429, EAR = 0.2016 
A = 5.3852, B = 5.3852, C = 26.6833, EAR = 0.2018 
A = 5.0990, B = 5.0990, C = 28.4429, EAR = 0.1793 
A = 5.3852, B = 5.3852, C = 28.6356, EAR = 0.1881 
A = 6.3246, B = 6.0828, C = 28.4429, EAR = 0.2181 
A = 5.3852, B = 5.3852, C = 28.6356, EAR = 0.1881 
A = 6.0828, B = 6.3246, C = 28.4429, EAR = 0.2181 
A = 6.7082, B = 5.3852, C = 27.8927, EAR = 0.2168 
A = 5.3852, B = 5.3852, C = 28.6356, EAR = 0.1881 
A = 5.3852, B = 6.3246, C = 28.1603, EAR = 0.2079 
A = 6.3246, B = 6.3246, C = 28.8617, EAR = 0.2191 
A = 5.3852, B = 5.0000, C = 27.2029, EAR = 0.1909 
A = 6.7082, B = 5.3852, C = 28.8617, EAR = 0.2095 
A = 5.8310, B = 5.8310, C = 27.2029, EAR = 0.2144 
A = 5.3852, B = 6.3246, C = 27.8927, EAR = 0.2099 
A = 6.7082, B = 6.7082, C = 27.8927, EAR = 0.2405 
A = 6.7082, B = 6.3246, C = 28.8617, EAR = 0.2258 
A = 6.7082, B = 6.3246, C = 28.1603, EAR = 0.2314 
A = 7.2801, B = 7.2801, C = 29.8329, EAR = 0.2440 
A = 6.7082, B = 6.3246, C = 27.8927, EAR = 0.2336 
A = 7.2801, B = 6.3246, C = 28.8617, EAR = 0.2357 
A = 7.6158, B = 6.3246, C = 28.8617, EAR = 0.2415 
A = 7.2801, B = 6.7082, C = 29.6142, EAR = 0.2362 
A = 7.2801, B = 6.3246, C = 29.1204, EAR = 0.2336 
A = 7.0711, B = 7.2801, C = 29.8329, EAR = 0.2405 
A = 7.2801, B = 7.6158, C = 28.8617, EAR = 0.2581 
A = 7.2801, B = 7.2801, C = 28.6356, EAR = 0.2542 
A = 7.6158, B = 7.2801, C = 29.1204, EAR = 0.2558 
A = 8.0623, B = 7.2801, C = 29.6142, EAR = 0.2590 
A = 7.2801, B = 8.2462, C = 29.1204, EAR = 0.2666 
A = 8.2462, B = 7.2801, C = 29.8329, EAR = 0.2602 
A = 7.6158, B = 8.2462, C = 29.1204, EAR = 0.2724 
A = 7.0711, B = 7.2801, C = 29.6142, EAR = 0.2423 
A = 7.2801, B = 7.2801, C = 27.8927, EAR = 0.2610 
A = 7.2801, B = 7.0711, C = 29.6142, EAR = 0.2423 
A = 7.2801, B = 8.2462, C = 28.8617, EAR = 0.2690 
A = 8.2462, B = 7.2801, C = 29.6142, EAR = 0.2621 
A = 7.2801, B = 8.2462, C = 29.8329, EAR = 0.2602 
A = 8.2462, B = 7.2801, C = 29.8329, EAR = 0.2602 
A = 8.2462, B = 8.2462, C = 28.1603, EAR = 0.2928 
A = 8.2462, B = 8.2462, C = 29.6142, EAR = 0.2785 
A = 6.3246, B = 7.2801, C = 29.1204, EAR = 0.2336 
A = 7.2801, B = 8.2462, C = 29.6142, EAR = 0.2621 
A = 8.2462, B = 8.2462, C = 29.1204, EAR = 0.2832 
A = 7.2801, B = 8.2462, C = 29.6142, EAR = 0.2621 
A = 7.2801, B = 8.2462, C = 29.1204, EAR = 0.2666 
A = 8.2462, B = 8.2462, C = 29.6142, EAR = 0.2785 
A = 8.2462, B = 8.2462, C = 28.8617, EAR = 0.2857 
A = 8.0623, B = 8.2462, C = 29.8329, EAR = 0.2733 
A = 8.2462, B = 9.2195, C = 28.8617, EAR = 0.3026 
A = 8.2462, B = 9.2195, C = 28.8617, EAR = 0.3026
A = 8.2462, B = 8.2462, C = 28.8617, EAR = 0.2857 
A = 8.0623, B = 8.2462, C = 28.6356, EAR = 0.2848 
A = 8.2462, B = 9.2195, C = 29.8329, EAR = 0.2927 
