A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 7.0000, B = 6.0828, C = 18.1108, EAR = 0.3612 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 5.0990, C = 18.0278, EAR = 0.3078 
A = 5.0990, B = 5.0990, C = 19.0263, EAR = 0.2680 
A = 6.0000, B = 5.0990, C = 18.1108, EAR = 0.3064 
A = 7.0711, B = 6.0828, C = 19.1050, EAR = 0.3443 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0828, C = 19.1050, EAR = 0.3162 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 7.0000, B = 6.0828, C = 18.1108, EAR = 0.3612 
A = 6.0000, B = 6.0828, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0000, C = 18.0278, EAR = 0.3328 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 18.1108, EAR = 0.3359 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 18.1108, EAR = 0.3359 
A = 6.0828, B = 6.0828, C = 17.1172, EAR = 0.3554 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0828, C = 17.2627, EAR = 0.3500 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0828, C = 18.2483, EAR = 0.3311 
A = 6.0000, B = 6.0000, C = 19.0263, EAR = 0.3154 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 7.0000, C = 19.0263, EAR = 0.3438 
A = 7.0711, B = 6.0000, C = 18.1108, EAR = 0.3609 
A = 6.0828, B = 6.0828, C = 19.1050, EAR = 0.3184 
A = 6.0828, B = 6.0000, C = 18.2483, EAR = 0.3311 
A = 6.0828, B = 6.0000, C = 19.1050, EAR = 0.3162 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0000, C = 19.0263, EAR = 0.3175 
A = 6.0828, B = 6.0000, C = 18.2483, EAR = 0.3311 
A = 6.0828, B = 6.0000, C = 19.0263, EAR = 0.3175 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0000, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0000, C = 19.0263, EAR = 0.3154 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0000, B = 6.0000, C = 19.0263, EAR = 0.3154 
A = 6.0000, B = 6.0000, C = 18.1108, EAR = 0.3313 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0000, B = 6.0000, C = 18.1108, EAR = 0.3313 
A = 6.0000, B = 6.0000, C = 19.0263, EAR = 0.3154 
A = 6.0000, B = 6.0000, C = 18.1108, EAR = 0.3313 
A = 6.0828, B = 6.0000, C = 19.0263, EAR = 0.3175 
A = 6.0000, B = 6.0828, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 6.0828, C = 19.0263, EAR = 0.3197 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 6.0828, B = 5.0000, C = 19.1050, EAR = 0.2900 
A = 6.0828, B = 6.0000, C = 18.1108, EAR = 0.3336 
A = 5.0000, B = 6.0828, C = 19.0263, EAR = 0.2912 
A = 6.0828, B = 6.0000, C = 18.0278, EAR = 0.3351 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 6.0000, B = 6.0828, C = 17.1172, EAR = 0.3529 
A = 5.0000, B = 6.0000, C = 19.0263, EAR = 0.2891 
A = 5.0000, B = 5.0990, C = 17.0294, EAR = 0.2965 
A = 5.0990, B = 5.0000, C = 19.0263, EAR = 0.2654 
